"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","61.29","6325781412.69","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","132.27","87654301791.18","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","40.52","1296872787.4","n/a","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","49.48","3930609360.08","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba",
"AHC","A.H. Belo Corporation","12.34","271521832.6","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"AIR","AAR Corp.","30.48","1207019765.28","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","32.49","2338532730","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","24.97","57447213120.88","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","39.51","60966707553","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","51.98","82571205352.72","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","39.25","2998676253.75","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"GCH","Aberdeen Greater China Fund, Inc.","9.2","223265710.4","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/gch",
"SGF","Aberdeen Singapore Fund, Inc.","12.33","93394990.62","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/sgf",
"ABM","ABM Industries Incorporated","28.5","1592082618","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","26.32","1471379330.4","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc.","83.39","55601928118.26","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ACMP","Access Midstream Partmers, L.P.","56.56","12033445367.44","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/acmp",
"ACCO","Acco Brands Corporation","5.86","666410550.82","n/a","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"ACW","Accuride Corporation New","4.65","221070262.8","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"ACE","Ace Limited","98.78","33255015601.28","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ace",
"ATV","Acorn International, Inc.","1.78","48920208.14","n/a","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
"ACT","Actavis, Inc.","214.2","37313585164.8","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/act",
"ATU","Actuant Corporation","32.86","2391293341.9","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands Inc","141.84","6107623591.68","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"ADX","Adams Express Company (The)","12.9","1199975311.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx",
"AGRO","Adecoagro S.A.","7.95","972928950","n/a","2011","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"PVD","Administradora de Fondos de Pensiones-Provida, S.A.","81.45","1799049192.3","n/a","1994","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pvd",
"ADT","ADT Corporation","28.69","5259157875.1","n/a","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/adt",
"AAP","Advance Auto Parts Inc","126.3","9210626296.2","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"AMD","Advanced Micro Devices, Inc.","3.8","2761123141.4","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"ASX","Advanced Semiconductor Engineering, Inc.","5.28","8036290210.08","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"AAV","Advantage Oil & Gas Ltd","4.15","698788777.7","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","10.09","1757661916.54","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ate",
"AVK","Advent Claymore Convertible Securities and Income Fund","18.64","439547528.64","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/avk",
"AGC","Advent Claymore Convertible Securities and Income Fund II","7.57","244062250.4","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/agc",
"LCM","Advent/Claymore Enhanced Growth & Income Fund","10.49","142695732.25","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/lcm",
"ACM","Aecom Technology Corporation","31.43","3113522934.48","n/a","2007","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acm",
"ANW","Aegean Marine Petroleum Network Inc.","9.7","458538594","n/a","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AEB","Aegon NV","21.28","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.1094","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEF","Aegon NV","25.72","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aef",
"AEG","Aegon NV","8.8","16804955648.8","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.2","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","28.44","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AER","Aercap Holdings N.V.","40.4","4594313936.8","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"ARX","Aeroflex Holding Corp.","8.66","737905454.12","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/arx",
"ARO","Aeropostale Inc","5.62","441134700.78","n/a","2002","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/aro",
"AET","Aetna Inc.","72.99","26473473000","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aet",
"AFM","Affiliated Managers Group, Inc.","25.54","0","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/afm",
"AMG","Affiliated Managers Group, Inc.","187.64","9993302598.72","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","24.6","0","n/a","2012","Finance","Investment Managers","http://www.nasdaq.com/symbol/mgr",
"AFL","Aflac Incorporated","63.82","29090124915.24","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afl",
"AFSD","Aflac Incorporated","23","0","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afsd",
